Folio	Quire	SmoothHairy	urn:cite:hmt:msA.BifolioWith	ReplacementPage
urn:cite:hmt:msA.114r	13	smooth	urn:cite:hmt:msA.109v	no
urn:cite:hmt:msA.114v	13	hairy	urn:cite:hmt:msA.109r	no
urn:cite:hmt:msA.115r	13	hairy	urn:cite:hmt:msA.108v	no
urn:cite:hmt:msA.115v	13	smooth	urn:cite:hmt:msA.108r	no
urn:cite:hmt:msA.116r	14	smooth	urn:cite:hmt:msA.123v	no
urn:cite:hmt:msA.116v	14	hairy	urn:cite:hmt:msA.123r	no
urn:cite:hmt:msA.117r	14	hairy	urn:cite:hmt:msA.122v	no
urn:cite:hmt:msA.117v	14	smooth	urn:cite:hmt:msA.122r	no
urn:cite:hmt:msA.118r	14	smooth	urn:cite:hmt:msA.121v	no
urn:cite:hmt:msA.118v	14	hairy	urn:cite:hmt:msA.121r	no
urn:cite:hmt:msA.119r	14	hairy	urn:cite:hmt:msA.120v	no
urn:cite:hmt:msA.119v	14	smooth	urn:cite:hmt:msA.120r	no
urn:cite:hmt:msA.120r	14	smooth	urn:cite:hmt:msA.119v	no
urn:cite:hmt:msA.120v	14	hairy	urn:cite:hmt:msA.119r	no
urn:cite:hmt:msA.121r	14	hairy	urn:cite:hmt:msA.118v	no
urn:cite:hmt:msA.121v	14	smooth	urn:cite:hmt:msA.118r	no
urn:cite:hmt:msA.122r	14	smooth	urn:cite:hmt:msA.117v	no
urn:cite:hmt:msA.122v	14	hairy	urn:cite:hmt:msA.117r	no
urn:cite:hmt:msA.123r	14	hairy	urn:cite:hmt:msA.116v	no
urn:cite:hmt:msA.123v	14	smooth	urn:cite:hmt:msA.116r	no
urn:cite:hmt:msA.124r	15	smooth	urn:cite:hmt:msA.131v	no
urn:cite:hmt:msA.124v	15	hairy	urn:cite:hmt:msA.131r	no
urn:cite:hmt:msA.125r	15	hairy	urn:cite:hmt:msA.130v	no
urn:cite:hmt:msA.125v	15	smooth	urn:cite:hmt:msA.130r	no
urn:cite:hmt:msA.126r	15	smooth	urn:cite:hmt:msA.129v	no
urn:cite:hmt:msA.126v	15	hairy	urn:cite:hmt:msA.129r	no
urn:cite:hmt:msA.127r	15	hairy	urn:cite:hmt:msA.128v	no
urn:cite:hmt:msA.127v	15	smooth	urn:cite:hmt:msA.128r	no
urn:cite:hmt:msA.128r	15	smooth	urn:cite:hmt:msA.127v	no
urn:cite:hmt:msA.128v	15	hairy	urn:cite:hmt:msA.127r	no
urn:cite:hmt:msA.129r	15	hairy	urn:cite:hmt:msA.126v	no
urn:cite:hmt:msA.129v	15	smooth	urn:cite:hmt:msA.126r	no
urn:cite:hmt:msA.130r	15	smooth	urn:cite:hmt:msA.125v	no
urn:cite:hmt:msA.130v	15	hairy	urn:cite:hmt:msA.125r	no
urn:cite:hmt:msA.131r	15	hairy	urn:cite:hmt:msA.124v	no
urn:cite:hmt:msA.131v	15	smooth	urn:cite:hmt:msA.124r	no
urn:cite:hmt:msA.132r	16	smooth	urn:cite:hmt:msA.139v	no
urn:cite:hmt:msA.132v	16	hairy	urn:cite:hmt:msA.139r	no
urn:cite:hmt:msA.133r	16	hairy	urn:cite:hmt:msA.138v	no
urn:cite:hmt:msA.133v	16	smooth	urn:cite:hmt:msA.138r	no
urn:cite:hmt:msA.134r	16	smooth	urn:cite:hmt:msA.137v	no
urn:cite:hmt:msA.134v	16	hairy	urn:cite:hmt:msA.137r	no
urn:cite:hmt:msA.135r	16	hairy	urn:cite:hmt:msA.136v	no
urn:cite:hmt:msA.135v	16	smooth	urn:cite:hmt:msA.136r	no
urn:cite:hmt:msA.136r	16	smooth	urn:cite:hmt:msA.135v	no
urn:cite:hmt:msA.136v	16	hairy	urn:cite:hmt:msA.135r	no
urn:cite:hmt:msA.137r	16	hairy	urn:cite:hmt:msA.134v	no
urn:cite:hmt:msA.137v	16	smooth	urn:cite:hmt:msA.134r	no
urn:cite:hmt:msA.138r	16	smooth	urn:cite:hmt:msA.133v	no
urn:cite:hmt:msA.138v	16	hairy	urn:cite:hmt:msA.133r	no
urn:cite:hmt:msA.139r	16	hairy	urn:cite:hmt:msA.132v	no
urn:cite:hmt:msA.139v	16	smooth	urn:cite:hmt:msA.132r	no
urn:cite:hmt:msA.140r	17	smooth	urn:cite:hmt:msA.147v	no
urn:cite:hmt:msA.140v	17	hairy	urn:cite:hmt:msA.147r	no
urn:cite:hmt:msA.141r	17	hairy	urn:cite:hmt:msA.146v	no
urn:cite:hmt:msA.141v	17	smooth	urn:cite:hmt:msA.146r	no
urn:cite:hmt:msA.142r	17	smooth	urn:cite:hmt:msA.145v	no
urn:cite:hmt:msA.142v	17	hairy	urn:cite:hmt:msA.145r	no
urn:cite:hmt:msA.143r	17	hairy	urn:cite:hmt:msA.144v	no
urn:cite:hmt:msA.143v	17	smooth	urn:cite:hmt:msA.144r	no
urn:cite:hmt:msA.144r	17	smooth	urn:cite:hmt:msA.143v	no
urn:cite:hmt:msA.144v	17	hairy	urn:cite:hmt:msA.143r	no
urn:cite:hmt:msA.145r	17	hairy	urn:cite:hmt:msA.142v	no
urn:cite:hmt:msA.145v	17	smooth	urn:cite:hmt:msA.142r	no
urn:cite:hmt:msA.146r	17	smooth	urn:cite:hmt:msA.141v	no
urn:cite:hmt:msA.146v	17	hairy	urn:cite:hmt:msA.141r	no
urn:cite:hmt:msA.147r	17	hairy	urn:cite:hmt:msA.140v	no
urn:cite:hmt:msA.147v	17	smooth	urn:cite:hmt:msA.140r	no
urn:cite:hmt:msA.148r	18	smooth	urn:cite:hmt:msA.155v	no
urn:cite:hmt:msA.148v	18	hairy	urn:cite:hmt:msA.155r	no
urn:cite:hmt:msA.149r	18	hairy	urn:cite:hmt:msA.154v	no
urn:cite:hmt:msA.149v	18	smooth	urn:cite:hmt:msA.154r	no
urn:cite:hmt:msA.150r	18	smooth	urn:cite:hmt:msA.153v	no
urn:cite:hmt:msA.150v	18	hairy	urn:cite:hmt:msA.153r	no
urn:cite:hmt:msA.151r	18	hairy	urn:cite:hmt:msA.152v	no
